CAPITAL FEDERAL,AGRONOMIA,1208,RAWSON,AV. SAN MARTIN 4951,-,
CAPITAL FEDERAL,AGRONOMIA,3936,SOCIAL FENIX IV,AV. TRIUNVIRATO 3749,-,
CAPITAL FEDERAL,ALMAGRO,2,BROCCA,TTE.GRAL.J.D.PERON 4101,-,
CAPITAL FEDERAL,ALMAGRO,3005,GRAN FARMACIA GALLO,AV. CORDOBA 3199,-,
CAPITAL FEDERAL,BALVANERA,1391,SOCIAL ONCE,AV. CORRIENTES 1999,-,
CAPITAL FEDERAL,BALVANERA,10698,SALUS,AV. CORRIENTES 1880,+,4371-7740
CAPITAL FEDERAL,BARRACAS,223,MANCINI,AV. MONTES DE OCA 1229,-,
CAPITAL FEDERAL,BARRACAS,1093,REP. DE BARRACAS,AV. MONTES DE OCA 1800,-,
CAPITAL FEDERAL,BELGRANO,45,DANESA,AV. CABILDO 2171,-,
CAPITAL FEDERAL,BELGRANO,145,BARRANCAS CENTER,JURAMENTO 1687,-,
CAPITAL FEDERAL,BELGRANO,1141,FARMAPLUS BELGRANO,JURAMENTO 2741,-,
CAPITAL FEDERAL,BELGRANO,5527,TKL GALESA,AV. CABILDO 1631,-,
CAPITAL FEDERAL,BOCA,159,RP.ALMIRANTE BROWN,AV. BROWN 900,-,
CAPITAL FEDERAL,BOEDO,1399,NUEVA SOPER,AV. BOEDO 780,-,
CAPITAL FEDERAL,BOEDO,1406,SUIZA SAN JUAN,AV. BOEDO 937,-,
CAPITAL FEDERAL,BOEDO,8556,SOCIAL PARMA,AV. SAN JUAN 3162,-,
CAPITAL FEDERAL,CABALLITO,207,DANGES,AV. DIRECTORIO 280,-,
CAPITAL FEDERAL,CABALLITO,288,OPENFARMA CONTEMPO,AV. RIVADAVIA 5444,-,
CAPITAL FEDERAL,CABALLITO,1163,TKL NUEVA GONZALEZ,AV. RIVADAVIA 5415,-,
CAPITAL FEDERAL,CABALLITO,1309,FARMAPLUS CABALL.II,AV. JOSE MARIA MORENO 99,-,
CAPITAL FEDERAL,CABALLITO,5350,AZUL 18,AV. RIVADAVIA 5014,+,4901-9070/2319/2281
CAPITAL FEDERAL,CENTRO,1169,RP.SCANNAPIECO,ESMERALDA 599,-,
CAPITAL FEDERAL,CENTRO,1431,RP.WENT,AV. CORRIENTES 901,-,
