BUENOS AIRES,WILDE,15,DR. AMOR,AV. BELGRANO 5801,4207-7189
BUENOS AIRES,WILDE,22,ARGENTINA  - MAGA,AV. FABIAN ONSARI 199,4353-0684
BUENOS AIRES,VILLA DOMINICO,28,BELGRANO  - MAGA,AV.BELGRANO 4600,4207-7104/4353-0266
BUENOS AIRES,VILLA DOMINICO,29,MAGA SHOP DOMINICO,AV. MITRE 4701,4227-0398/4207-7612
BUENOS AIRES,LANUS,43,VELEZ,TUYUTI 1234,4208-8293
BUENOS AIRES,LANUS,44,FRANCO ITALIANA,SARMIENTO 1847,4241-0363/4247-3658
BUENOS AIRES,BANFIELD,61,RAWSON,URIARTE 398,4242-0644
BUENOS AIRES,QUILMES ESTE,74,MARIANI,MITRE 623,4253-0033/4257-6838/1544210193
BUENOS AIRES,QUILMES,80,MOSSI,MITRE 1161,4257-9912
BUENOS AIRES,QUILMES,90,MAGA SHOP S.C.S. - MAGA,A. BARANDA 100,4252-8576/3387
BUENOS AIRES,LA PLATA,111,MANES - FERRERE,CALLE 49 NRO 636,(0221) 422-0550/483-0550
BUENOS AIRES,MORON,321,CENTRAL MORON SRL,RIVADAVIA 18161,4483-4343/2431
BUENOS AIRES,SAN JUSTO,336,ROMANO,AV. ARTURO ILLIA 2302,4484-7055/2193
BUENOS AIRES,LONGCHAMPS,358,DUGONE,ALSINA 838,4297-2337/2700
CAPITAL FEDERAL,CAPITAL FEDERAL,417,MATIENZO ,TTE. BENJAMIN MATIENZO 1714,4771-7545
BUENOS AIRES,BERAZATEGUI,443,DAGAND,AV. 21 Nª 5297,4256-4051
BUENOS AIRES,BANFIELD,499,SAIBENE,MAIPU 202,4242-0304
BUENOS AIRES,TEMPERLEY,574,LLANO,DE LOS EUCALIPTUS 259,4264-5537
CAPITAL FEDERAL,CAPITAL FEDERAL,598,DANESA,Av.CABILDO 2171,4787-3100
CAPITAL FEDERAL,CAPITAL FEDERAL,829,GEL,PTE. PERON 3734,4865-7741/8049
BUENOS AIRES,LOMAS DE ZAMORA,871,FREGA ,PEREYRA LUCENA 1156,4244-1509
BUENOS AIRES,GLEW,900,KRUKOWSKI,RUTA 210 NRO. 20119,(0222) 443-3909
BUENOS AIRES,AVELLANEDA,905,MAGA SHOP CASSISSA  - Crucesita,AV. MITRE 1471,4203-7923
BUENOS AIRES,MARTINEZ,915,GALVANO,H. YRIGOYEN 514,4792-7116
BUENOS AIRES,BERNAL OESTE,1000,MORALA,ZAPIOLA 1057,4252-1723
BUENOS AIRES,SAN FRANCISCO SOLANO,1030,PEÑA DE SOLANO S.R.L.,845 Nº 2699,5291-2116/17
BUENOS AIRES,MONTE GRANDE,1042,RUSSO - Del Boulevard,BOULEVARD 905 ESQ.SALTA,4296-8078/4281-9300
BUENOS AIRES,MONTE GRANDE,1055,FRANCO,RODRIGUEZ 129,4281-7271 Fax: 4296-3458
CAPITAL FEDERAL,CAPITAL FEDERAL,1057,ANTIGUA CHARCAS,CHARCAS 4299,4831-1551/154-413-3192
BUENOS AIRES,FLORENCIO VARELA,1070,UGARTE,PUEYRREDON 417,4255-1910
CAPITAL FEDERAL,CAPITAL FEDERAL,1075,CENTRAL S.C.S.,Av. MONROE 4968,4523-5148/3178
BUENOS AIRES,VILLA DOMINICO,1081,ALAMO,AV. MITRE 4207,4207-4064 fax 4206-9800
BUENOS AIRES,LANUS,1082,ALLEGRINO,AV. SAN MARTIN 1934,4225-1170/4249-4383
BUENOS AIRES,MONTE GRANDE,1084,MAGAGOX S.C.S.,CAMINO DE CINTURA 2200,4272-8664
BUENOS AIRES,LOMAS DE ZAMORA,1095,RUSSO,LAPRIDA 1999,4282-7638
BUENOS AIRES,TEMPERLEY,1111,POMPOZZI,TARIJA 1667,4292-0563
BUENOS AIRES,MONTE GRANDE,1116,SIX PHARM S.C.S. 3170,L.N.ALEM 801,4281-8118 4296-4899 4290-5292
BUENOS AIRES,VILLA BALLESTER,1127,DEL AGUILA II,ALMIRANTE BROWN 3099,4512-5206/5210
BUENOS AIRES,VILLA BALLESTER,1128,ANTIGUA DEL AGUILA,ALVEAR 251,4512-5205/5204
BUENOS AIRES,EZEIZA,1133,MG FARMACEUTICA - Nva. Ezeiza,AVELLANEDA 74,4232-4529/9576
BUENOS AIRES,QUILMES OESTE,1135,MEGA SOL Q. SCS - MAGA,J.V.GONZALEZ 2001,4200-2827/7067
BUENOS AIRES,EZEIZA,1136,ROURCKE EZEIZA S.C.S.,PASO DE LA PATRIA  390,4232-0771
BUENOS AIRES,AVELLANEDA,1138,DEL HIPER I - 7 PHARM ,AV.H. YRIGOYEN 269 LOCAL 7,4222-6461
BUENOS AIRES,TURDERA,1139,AVENIDA ANTARTIDA,AV. ANTARTIDA 127,4298-3518
BUENOS AIRES,MORENO,1140,DEL HIPER II - 8 PHARM ,AV. GAONA Y GRAHAM BELL,(0237) 468-7106
BUENOS AIRES,AVELLANEDA,1151,LACARRA S.C.S.,LACARRA 1702,4204-6833/4203-0347
BUENOS AIRES,MONTE CHINGOLO,1169,BERNACHEA,CNO. GRAL. BELGRANO 4601,4246-8849
CAPITAL FEDERAL,CAPITAL FEDERAL,1186,DEL HOSPITAL,RIOJA 934,4931-1035
CAPITAL FEDERAL,CAPITAL FEDERAL,1196,ANDREA,NAZCA 4392,4572-9306
BUENOS AIRES,SAN ISIDRO,1200,AÑON,AV. SAN ANDRES ROLON 138,4723-7441
BUENOS AIRES,WILDE,1219,SOL WILDE S.C.S. - MAGA,RAMON FRANCO 5919,4353-0644/0645
BUENOS AIRES,BERAZATEGUI,1230,MUTUALIDAD DUCILO,MITRE 442,4256-6059/9723/4356-1835/0316
BUENOS AIRES,FLORENCIO VARELA,1233,TOKUMOTO,EVA PERON 6556,4274-1947
BUENOS AIRES,TEMPERLEY,1234,NUEVA TEMPERLEY S.C.S. - RED XXI ,H YRIGOYEN 10581/83,4231-0803
CAPITAL FEDERAL,CAPITAL FEDERAL,1239,FRANCO ALEMANA,PUEYRREDON 1598,4821-1116
BUENOS AIRES,AVELLANEDA,1241,LASER SCS,AV. MITRE 326,4201-9542/4358-4156
BUENOS AIRES,BANFIELD,1254,SIND. DEL PAPEL CARTON QUIMICO,ALSINA 740,4202-4750
BUENOS AIRES,BERNAL,1267,MAGA SHOP II S.C.S.,LEBENSOHN 11,4224-0900
BUENOS AIRES,SARANDI,1279,MAGA SHOP SARANDI ,AV. MITRE 3385,4205-4642/4204-2536/6992
BUENOS AIRES,BERNAL,1280,MAGA SHOP BERNAL ,AV. SAN MARTIN 756,4252-6733
CAPITAL FEDERAL,CAPITAL FEDERAL,1281,DEL OESTE,AV. J.B. ALBERDI 6208,4687-9941
CAPITAL FEDERAL,CAPITAL FEDERAL,1290,COSMOPOLITA,AV. GAONA 3501,4611-0233
BUENOS AIRES,CAÑUELAS,1294,NUEVA CAÑUELAS,ALEM 812,02226-432800/01
BUENOS AIRES,WILDE,1304,CASTRO,FABIAN ONSARI 787,4207-0018
